nitrogen,phosphorus,potassium,temp_rec,hum_rec,ph,rainfall,temp_data,hum_data,soil_type,moist
71,54,16,22.61,63.69,5.75,87.76,32.64,71.49,Black,45.45
71,54,16,22.61,63.69,5.75,87.76,35.8,55.37,Clayey,57.55
71,54,16,22.61,63.69,5.75,87.76,29.38,54.47,Sandy,52.56
71,54,16,22.61,63.69,5.75,87.76,34.63,63.8,Black,24.01
71,54,16,22.61,63.69,5.75,87.76,30.09,54.43,Red,60.02
71,54,16,22.61,63.69,5.75,87.76,38.38,65.51,Black,46.26
71,54,16,22.61,63.69,5.75,87.76,30.37,74.96,Sandy,45.96
71,54,16,22.61,63.69,5.75,87.76,36.58,61.79,Loamy,40.55
71,54,16,22.61,63.69,5.75,87.76,25.6,52.6,Red,54.46
71,54,16,22.61,63.69,5.75,87.76,37.38,70.59,Sandy,66.29
71,54,16,22.61,63.69,5.75,87.76,25.23,48.23,Black,21.3
71,54,16,22.61,63.69,5.75,87.76,31.18,72.57,Loamy,46.74
71,54,16,22.61,63.69,5.75,87.76,37.65,60.86,Black,24.45
71,54,16,22.61,63.69,5.75,87.76,31.22,74.54,Sandy,61.36
71,54,16,22.61,63.69,5.75,87.76,38.75,58.17,Loamy,52.93
71,54,16,22.61,63.69,5.75,87.76,40.0,63.37,Sandy,45.26
71,54,16,22.61,63.69,5.75,87.76,35.79,55.43,Black,70.0
71,54,16,22.61,63.69,5.75,87.76,38.68,77.89,Loamy,35.76
71,54,16,22.61,63.69,5.75,87.76,24.23,54.91,Loamy,32.3
71,54,16,22.61,63.69,5.75,87.76,25.49,58.9,Sandy,27.75
71,54,16,22.61,63.69,5.75,87.76,29.54,46.05,Clayey,47.43
71,54,16,22.61,63.69,5.75,87.76,29.6,65.96,Sandy,27.64
71,54,16,22.61,63.69,5.75,87.76,29.25,53.85,Red,33.95
71,54,16,22.61,63.69,5.75,87.76,22.81,48.89,Loamy,28.47
71,54,16,22.61,63.69,5.75,87.76,38.07,62.7,Red,66.49
71,54,16,22.61,63.69,5.75,87.76,37.61,56.44,Sandy,61.31
71,54,16,22.61,63.69,5.75,87.76,23.41,47.11,Sandy,60.88
71,54,16,22.61,63.69,5.75,87.76,34.72,64.79,Clayey,24.84
71,54,16,22.61,63.69,5.75,87.76,32.62,52.77,Red,37.75
71,54,16,22.61,63.69,5.75,87.76,32.78,68.98,Red,42.07
71,54,16,22.61,63.69,5.75,87.76,27.79,51.33,Loamy,28.88
71,54,16,22.61,63.69,5.75,87.76,28.49,61.78,Sandy,47.46
71,54,16,22.61,63.69,5.75,87.76,34.46,67.55,Black,53.28
71,54,16,22.61,63.69,5.75,87.76,30.24,57.35,Black,39.81
71,54,16,22.61,63.69,5.75,87.76,33.16,66.73,Loamy,50.78
71,54,16,22.61,63.69,5.75,87.76,39.48,79.62,Red,45.0
71,54,16,22.61,63.69,5.75,87.76,30.06,63.8,Red,35.07
71,54,16,22.61,63.69,5.75,87.76,25.88,62.12,Black,69.37
71,54,16,22.61,63.69,5.75,87.76,31.89,67.32,Loamy,55.3
71,54,16,22.61,63.69,5.75,87.76,29.98,56.89,Loamy,32.9
71,54,16,22.61,63.69,5.75,87.76,36.91,73.2,Red,33.96
71,54,16,22.61,63.69,5.75,87.76,34.0,73.7,Sandy,57.78
71,54,16,22.61,63.69,5.75,87.76,32.06,46.96,Sandy,51.16
71,54,16,22.61,63.69,5.75,87.76,24.26,61.88,Clayey,65.71
71,54,16,22.61,63.69,5.75,87.76,36.45,68.49,Loamy,26.71
71,54,16,22.61,63.69,5.75,87.76,30.81,65.77,Black,45.65
71,54,16,22.61,63.69,5.75,87.76,33.61,68.82,Clayey,40.58
71,54,16,22.61,63.69,5.75,87.76,31.28,59.63,Clayey,56.79
71,54,16,22.61,63.69,5.75,87.76,33.98,50.38,Sandy,53.63
71,54,16,22.61,63.69,5.75,87.76,27.7,51.81,Sandy,52.3
71,54,16,22.61,63.69,5.75,87.76,31.64,58.28,Sandy,29.1
71,54,16,22.61,63.69,5.75,87.76,34.71,71.46,Red,27.27
71,54,16,22.61,63.69,5.75,87.76,28.71,61.58,Sandy,39.06
71,54,16,22.61,63.69,5.75,87.76,26.65,56.89,Black,50.34
71,54,16,22.61,63.69,5.75,87.76,26.17,51.76,Loamy,33.52
71,54,16,22.61,63.69,5.75,87.76,27.2,62.82,Clayey,65.08
71,54,16,22.61,63.69,5.75,87.76,32.31,63.38,Loamy,48.51
71,54,16,22.61,63.69,5.75,87.76,30.75,52.41,Loamy,37.5
71,54,16,22.61,63.69,5.75,87.76,31.47,62.21,Black,66.18
71,54,16,22.61,63.69,5.75,87.76,26.78,65.69,Sandy,55.2
71,54,16,22.61,63.69,5.75,87.76,37.79,66.43,Black,53.61
71,54,16,22.61,63.69,5.75,87.76,28.25,54.74,Red,70.0
71,54,16,22.61,63.69,5.75,87.76,34.91,57.74,Clayey,67.05
71,54,16,22.61,63.69,5.75,87.76,27.97,61.87,Black,53.56
71,54,16,22.61,63.69,5.75,87.76,35.52,75.0,Black,62.64
71,54,16,22.61,63.69,5.75,87.76,27.25,57.18,Clayey,56.38
71,54,16,22.61,63.69,5.75,87.76,31.47,70.69,Black,49.36
71,54,16,22.61,63.69,5.75,87.76,20.18,49.8,Red,27.78
71,54,16,22.61,63.69,5.75,87.76,29.43,65.58,Clayey,51.3
71,54,16,22.61,63.69,5.75,87.76,29.29,69.9,Black,43.81
71,54,16,22.61,63.69,5.75,87.76,32.07,63.03,Sandy,39.38
71,54,16,22.61,63.69,5.75,87.76,34.32,61.36,Black,44.53
71,54,16,22.61,63.69,5.75,87.76,39.78,72.13,Clayey,29.77
71,54,16,22.61,63.69,5.75,87.76,30.02,66.49,Loamy,49.75
71,54,16,22.61,63.69,5.75,87.76,26.05,51.23,Loamy,34.11
71,54,16,22.61,63.69,5.75,87.76,35.77,67.17,Black,42.53
71,54,16,22.61,63.69,5.75,87.76,33.14,50.64,Loamy,55.05
71,54,16,22.61,63.69,5.75,87.76,28.48,55.48,Loamy,25.55
71,54,16,22.61,63.69,5.75,87.76,32.92,60.86,Clayey,60.26
71,54,16,22.61,63.69,5.75,87.76,31.52,57.93,Clayey,68.2
71,54,16,22.61,63.69,5.75,87.76,31.72,45.26,Clayey,28.54
71,54,16,22.61,63.69,5.75,87.76,30.76,50.1,Clayey,44.85
71,54,16,22.61,63.69,5.75,87.76,30.4,52.84,Clayey,59.57
71,54,16,22.61,63.69,5.75,87.76,31.73,51.82,Sandy,37.23
71,54,16,22.61,63.69,5.75,87.76,31.19,71.44,Loamy,46.39
71,54,16,22.61,63.69,5.75,87.76,39.45,73.14,Sandy,24.99
71,54,16,22.61,63.69,5.75,87.76,26.38,49.88,Black,65.47
71,54,16,22.61,63.69,5.75,87.76,35.49,70.58,Clayey,34.23
71,54,16,22.61,63.69,5.75,87.76,27.71,53.42,Black,37.98
71,54,16,22.61,63.69,5.75,87.76,30.41,63.03,Clayey,49.09
71,54,16,22.61,63.69,5.75,87.76,28.41,61.99,Red,31.54
71,54,16,22.61,63.69,5.75,87.76,31.39,61.78,Red,70.0
71,54,16,22.61,63.69,5.75,87.76,29.34,49.57,Loamy,20.01
71,54,16,22.61,63.69,5.75,87.76,28.57,50.93,Red,44.78
71,54,16,22.61,63.69,5.75,87.76,24.18,53.12,Clayey,59.3
71,54,16,22.61,63.69,5.75,87.76,30.65,47.72,Clayey,37.49
71,54,16,22.61,63.69,5.75,87.76,34.12,63.6,Red,27.97
71,54,16,22.61,63.69,5.75,87.76,33.42,65.41,Black,63.33
71,54,16,22.61,63.69,5.75,87.76,37.53,67.28,Clayey,40.79
71,54,16,22.61,63.69,5.75,87.76,30.71,58.51,Sandy,42.79
71,54,16,22.61,63.69,5.75,87.76,35.46,70.84,Black,62.84
71,54,16,22.61,63.69,5.75,87.76,22.51,50.31,Clayey,30.59
71,54,16,22.61,63.69,5.75,87.76,28.74,51.47,Clayey,58.63
71,54,16,22.61,63.69,5.75,87.76,22.76,48.08,Loamy,34.55
71,54,16,22.61,63.69,5.75,87.76,23.01,46.97,Sandy,52.66
71,54,16,22.61,63.69,5.75,87.76,27.78,63.49,Red,36.53
71,54,16,22.61,63.69,5.75,87.76,32.34,57.71,Loamy,24.9
71,54,16,22.61,63.69,5.75,87.76,27.61,69.47,Black,34.64
71,54,16,22.61,63.69,5.75,87.76,28.82,62.02,Clayey,40.63
71,54,16,22.61,63.69,5.75,87.76,32.87,55.38,Loamy,34.81
71,54,16,22.61,63.69,5.75,87.76,30.85,62.67,Loamy,70.0
71,54,16,22.61,63.69,5.75,87.76,31.2,58.13,Clayey,55.28
71,54,16,22.61,63.69,5.75,87.76,26.88,54.41,Clayey,28.3
71,54,16,22.61,63.69,5.75,87.76,24.84,54.15,Clayey,44.72
71,54,16,22.61,63.69,5.75,87.76,28.48,54.42,Red,23.99
71,54,16,22.61,63.69,5.75,87.76,28.63,52.84,Clayey,34.25
71,54,16,22.61,63.69,5.75,87.76,37.66,55.23,Clayey,31.77
71,54,16,22.61,63.69,5.75,87.76,30.0,48.39,Clayey,24.07
71,54,16,22.61,63.69,5.75,87.76,29.42,56.7,Black,47.96
71,54,16,22.61,63.69,5.75,87.76,33.46,60.18,Black,43.06
71,54,16,22.61,63.69,5.75,87.76,34.33,61.6,Clayey,35.53
71,54,16,22.61,63.69,5.75,87.76,40.0,68.47,Red,49.84
71,54,16,22.61,63.69,5.75,87.76,29.2,62.74,Black,46.45
71,54,16,22.61,63.69,5.75,87.76,24.98,62.27,Clayey,48.83
71,54,16,22.61,63.69,5.75,87.76,31.28,61.86,Black,62.26
71,54,16,22.61,63.69,5.75,87.76,26.27,48.43,Loamy,36.14
71,54,16,22.61,63.69,5.75,87.76,29.62,61.0,Black,31.32
71,54,16,22.61,63.69,5.75,87.76,30.67,66.76,Sandy,52.32
71,54,16,22.61,63.69,5.75,87.76,30.89,58.68,Sandy,33.78
71,54,16,22.61,63.69,5.75,87.76,28.01,54.25,Red,39.67
71,54,16,22.61,63.69,5.75,87.76,27.37,52.08,Clayey,45.62
71,54,16,22.61,63.69,5.75,87.76,30.65,57.55,Black,43.54
71,54,16,22.61,63.69,5.75,87.76,36.13,61.57,Loamy,35.14
71,54,16,22.61,63.69,5.75,87.76,31.7,55.64,Sandy,40.28
71,54,16,22.61,63.69,5.75,87.76,29.0,65.07,Red,70.0
71,54,16,22.61,63.69,5.75,87.76,35.17,73.71,Loamy,70.0
71,54,16,22.61,63.69,5.75,87.76,23.29,59.14,Red,42.14
71,54,16,22.61,63.69,5.75,87.76,25.85,48.14,Loamy,39.33
71,54,16,22.61,63.69,5.75,87.76,27.52,52.42,Red,36.15
71,54,16,22.61,63.69,5.75,87.76,33.72,61.76,Clayey,45.98
71,54,16,22.61,63.69,5.75,87.76,30.63,60.56,Black,22.33
71,54,16,22.61,63.69,5.75,87.76,27.05,50.1,Sandy,30.22
71,54,16,22.61,63.69,5.75,87.76,33.04,56.04,Black,63.33
71,54,16,22.61,63.69,5.75,87.76,30.11,48.12,Red,54.43
71,54,16,22.61,63.69,5.75,87.76,32.86,68.29,Black,37.77
71,54,16,22.61,63.69,5.75,87.76,26.79,51.89,Sandy,45.51
71,54,16,22.61,63.69,5.75,87.76,23.96,52.37,Sandy,25.81
71,54,16,22.61,63.69,5.75,87.76,24.83,54.28,Clayey,62.54
71,54,16,22.61,63.69,5.75,87.76,27.17,69.52,Sandy,47.69
71,54,16,22.61,63.69,5.75,87.76,35.51,72.18,Loamy,36.2
71,54,16,22.61,63.69,5.75,87.76,27.42,62.06,Clayey,43.64
71,54,16,22.61,63.69,5.75,87.76,34.36,59.48,Sandy,61.29
71,54,16,22.61,63.69,5.75,87.76,29.16,50.01,Clayey,56.58
71,54,16,22.61,63.69,5.75,87.76,29.86,59.28,Sandy,62.62
71,54,16,22.61,63.69,5.75,87.76,21.51,55.9,Clayey,45.54
71,54,16,22.61,63.69,5.75,87.76,30.88,56.44,Sandy,68.29
71,54,16,22.61,63.69,5.75,87.76,37.61,60.54,Loamy,64.55
71,54,16,22.61,63.69,5.75,87.76,27.44,54.73,Clayey,62.9
71,54,16,22.61,63.69,5.75,87.76,25.35,50.13,Red,25.76
71,54,16,22.61,63.69,5.75,87.76,28.71,64.1,Loamy,44.78
71,54,16,22.61,63.69,5.75,87.76,35.77,60.14,Black,36.61
71,54,16,22.61,63.69,5.75,87.76,30.67,44.15,Loamy,46.13
71,54,16,22.61,63.69,5.75,87.76,32.93,56.53,Clayey,28.8
71,54,16,22.61,63.69,5.75,87.76,37.94,60.1,Loamy,56.48
71,54,16,22.61,63.69,5.75,87.76,26.73,56.88,Red,29.16
71,54,16,22.61,63.69,5.75,87.76,28.09,68.54,Red,27.88
71,54,16,22.61,63.69,5.75,87.76,33.09,77.6,Clayey,43.37
71,54,16,22.61,63.69,5.75,87.76,28.01,42.25,Black,31.47
71,54,16,22.61,63.69,5.75,87.76,35.45,70.4,Loamy,26.6
71,54,16,22.61,63.69,5.75,87.76,24.78,60.16,Sandy,32.61
71,54,16,22.61,63.69,5.75,87.76,32.21,54.41,Clayey,61.25
71,54,16,22.61,63.69,5.75,87.76,26.13,52.53,Sandy,60.62
71,54,16,22.61,63.69,5.75,87.76,31.78,66.16,Clayey,38.27
71,54,16,22.61,63.69,5.75,87.76,31.94,71.92,Black,36.07
71,54,16,22.61,63.69,5.75,87.76,31.24,49.93,Black,37.99
71,54,16,22.61,63.69,5.75,87.76,38.94,73.94,Red,64.07
71,54,16,22.61,63.69,5.75,87.76,32.42,57.29,Red,59.35
71,54,16,22.61,63.69,5.75,87.76,33.54,62.45,Black,27.73
71,54,16,22.61,63.69,5.75,87.76,30.6,46.79,Red,28.45
71,54,16,22.61,63.69,5.75,87.76,26.2,53.65,Sandy,56.71
71,54,16,22.61,63.69,5.75,87.76,34.2,64.85,Clayey,39.67
71,54,16,22.61,63.69,5.75,87.76,21.36,56.53,Black,34.78
71,54,16,22.61,63.69,5.75,87.76,21.14,58.75,Loamy,31.2
71,54,16,22.61,63.69,5.75,87.76,30.87,74.24,Clayey,62.38
71,54,16,22.61,63.69,5.75,87.76,38.41,74.99,Black,25.39
71,54,16,22.61,63.69,5.75,87.76,34.45,66.86,Black,35.97
71,54,16,22.61,63.69,5.75,87.76,30.04,45.43,Black,37.77
71,54,16,22.61,63.69,5.75,87.76,31.74,63.18,Loamy,24.75
71,54,16,22.61,63.69,5.75,87.76,30.89,57.6,Sandy,53.41
71,54,16,22.61,63.69,5.75,87.76,25.0,43.01,Sandy,70.0
71,54,16,22.61,63.69,5.75,87.76,27.46,66.87,Loamy,26.04
71,54,16,22.61,63.69,5.75,87.76,27.98,46.24,Loamy,47.68
71,54,16,22.61,63.69,5.75,87.76,33.65,64.1,Loamy,41.88
71,54,16,22.61,63.69,5.75,87.76,26.34,61.87,Red,22.93
71,54,16,22.61,63.69,5.75,87.76,34.24,61.19,Sandy,31.95
71,54,16,22.61,63.69,5.75,87.76,26.86,60.39,Clayey,30.72
71,54,16,22.61,63.69,5.75,87.76,31.45,59.17,Sandy,41.86
71,54,16,22.61,63.69,5.75,87.76,30.78,72.03,Sandy,70.0
71,54,16,22.61,63.69,5.75,87.76,30.61,56.22,Red,43.7
71,54,16,22.61,63.69,5.75,87.76,27.72,52.05,Clayey,49.01
71,54,16,22.61,63.69,5.75,87.76,33.77,70.96,Red,30.96
71,54,16,22.61,63.69,5.75,87.76,29.04,52.28,Sandy,61.27
71,54,16,22.61,63.69,5.75,87.76,32.93,69.74,Sandy,37.19
71,54,16,22.61,63.69,5.75,87.76,35.3,68.25,Red,43.64
71,54,16,22.61,63.69,5.75,87.76,26.56,65.45,Sandy,48.14
71,54,16,22.61,63.69,5.75,87.76,37.57,64.34,Black,38.29
71,54,16,22.61,63.69,5.75,87.76,30.95,54.47,Red,55.47
71,54,16,22.61,63.69,5.75,87.76,33.49,63.22,Clayey,25.31
71,54,16,22.61,63.69,5.75,87.76,27.24,70.93,Clayey,28.75
71,54,16,22.61,63.69,5.75,87.76,38.41,68.47,Sandy,56.4
71,54,16,22.61,63.69,5.75,87.76,22.63,51.01,Loamy,51.05
71,54,16,22.61,63.69,5.75,87.76,27.06,57.03,Loamy,60.52
71,54,16,22.61,63.69,5.75,87.76,25.47,58.41,Clayey,26.01
71,54,16,22.61,63.69,5.75,87.76,34.34,59.47,Loamy,35.55
71,54,16,22.61,63.69,5.75,87.76,28.59,68.53,Clayey,38.94
71,54,16,22.61,63.69,5.75,87.76,33.19,72.33,Red,65.98
71,54,16,22.61,63.69,5.75,87.76,27.56,51.96,Sandy,40.99
71,54,16,22.61,63.69,5.75,87.76,32.36,54.03,Red,43.93
71,54,16,22.61,63.69,5.75,87.76,31.84,69.56,Clayey,69.24
71,54,16,22.61,63.69,5.75,87.76,31.73,67.18,Red,35.49
71,54,16,22.61,63.69,5.75,87.76,36.12,64.07,Clayey,33.97
71,54,16,22.61,63.69,5.75,87.76,34.06,66.03,Loamy,26.03
71,54,16,22.61,63.69,5.75,87.76,26.22,62.62,Clayey,25.5
71,54,16,22.61,63.69,5.75,87.76,29.93,59.13,Loamy,61.65
71,54,16,22.61,63.69,5.75,87.76,32.64,56.9,Sandy,51.27
71,54,16,22.61,63.69,5.75,87.76,27.59,60.38,Clayey,29.02
71,54,16,22.61,63.69,5.75,87.76,29.6,54.82,Red,64.66
71,54,16,22.61,63.69,5.75,87.76,25.33,50.43,Sandy,55.18
71,54,16,22.61,63.69,5.75,87.76,22.88,50.27,Sandy,31.25
71,54,16,22.61,63.69,5.75,87.76,27.26,47.32,Sandy,67.89
71,54,16,22.61,63.69,5.75,87.76,27.49,67.39,Loamy,29.17
71,54,16,22.61,63.69,5.75,87.76,37.89,65.59,Black,59.98
71,54,16,22.61,63.69,5.75,87.76,30.04,56.4,Sandy,48.79
71,54,16,22.61,63.69,5.75,87.76,34.98,65.83,Red,33.5
71,54,16,22.61,63.69,5.75,87.76,25.23,44.95,Sandy,23.32
71,54,16,22.61,63.69,5.75,87.76,31.69,53.43,Red,54.42
71,54,16,22.61,63.69,5.75,87.76,33.48,65.81,Black,38.6
71,54,16,22.61,63.69,5.75,87.76,39.16,72.53,Loamy,36.73
71,54,16,22.61,63.69,5.75,87.76,28.12,58.63,Clayey,70.0
71,54,16,22.61,63.69,5.75,87.76,26.29,59.73,Black,44.01
71,54,16,22.61,63.69,5.75,87.76,40.0,75.29,Sandy,59.96
71,54,16,22.61,63.69,5.75,87.76,30.02,66.59,Loamy,44.84
71,54,16,22.61,63.69,5.75,87.76,26.11,62.81,Black,52.46
71,54,16,22.61,63.69,5.75,87.76,31.68,68.95,Red,50.54
71,54,16,22.61,63.69,5.75,87.76,30.59,60.6,Black,24.53
71,54,16,22.61,63.69,5.75,87.76,25.95,57.37,Clayey,31.82
71,54,16,22.61,63.69,5.75,87.76,29.51,53.95,Loamy,38.65
71,54,16,22.61,63.69,5.75,87.76,36.85,64.33,Red,49.71
71,54,16,22.61,63.69,5.75,87.76,27.99,45.61,Red,37.12
71,54,16,22.61,63.69,5.75,87.76,24.56,57.17,Black,20.0
71,54,16,22.61,63.69,5.75,87.76,27.77,60.44,Sandy,28.67
71,54,16,22.61,63.69,5.75,87.76,28.72,42.07,Sandy,47.05
71,54,16,22.61,63.69,5.75,87.76,27.17,66.27,Sandy,40.8
71,54,16,22.61,63.69,5.75,87.76,30.79,55.86,Clayey,51.44
71,54,16,22.61,63.69,5.75,87.76,30.64,63.54,Red,56.5
71,54,16,22.61,63.69,5.75,87.76,31.6,67.29,Clayey,67.06
71,54,16,22.61,63.69,5.75,87.76,28.66,59.28,Loamy,48.06
71,54,16,22.61,63.69,5.75,87.76,27.1,62.84,Black,62.37
71,54,16,22.61,63.69,5.75,87.76,26.18,52.68,Clayey,52.49
71,54,16,22.61,63.69,5.75,87.76,31.43,58.06,Sandy,40.83
71,54,16,22.61,63.69,5.75,87.76,25.75,44.84,Black,61.62
71,54,16,22.61,63.69,5.75,87.76,32.95,47.94,Red,29.06
71,54,16,22.61,63.69,5.75,87.76,31.8,58.18,Red,56.23
71,54,16,22.61,63.69,5.75,87.76,21.51,50.09,Red,32.94
71,54,16,22.61,63.69,5.75,87.76,21.84,58.79,Loamy,53.97
71,54,16,22.61,63.69,5.75,87.76,30.31,61.48,Black,37.51
71,54,16,22.61,63.69,5.75,87.76,25.71,51.45,Red,32.95
71,54,16,22.61,63.69,5.75,87.76,26.74,63.11,Sandy,41.43
71,54,16,22.61,63.69,5.75,87.76,35.08,66.89,Loamy,59.2
71,54,16,22.61,63.69,5.75,87.76,36.97,75.86,Loamy,59.72
71,54,16,22.61,63.69,5.75,87.76,31.33,60.21,Clayey,59.87
71,54,16,22.61,63.69,5.75,87.76,34.32,64.31,Clayey,36.15
71,54,16,22.61,63.69,5.75,87.76,39.67,70.21,Red,40.71
71,54,16,22.61,63.69,5.75,87.76,39.08,71.98,Sandy,43.54
71,54,16,22.61,63.69,5.75,87.76,24.63,56.02,Red,63.95
71,54,16,22.61,63.69,5.75,87.76,35.17,70.71,Clayey,27.27
71,54,16,22.61,63.69,5.75,87.76,36.98,71.46,Sandy,50.7
71,54,16,22.61,63.69,5.75,87.76,29.89,60.28,Black,35.37
71,54,16,22.61,63.69,5.75,87.76,28.67,68.13,Loamy,40.26
71,54,16,22.61,63.69,5.75,87.76,21.7,53.27,Clayey,56.56
71,54,16,22.61,63.69,5.75,87.76,24.26,61.26,Red,47.06
71,54,16,22.61,63.69,5.75,87.76,24.95,57.77,Red,34.91
71,54,16,22.61,63.69,5.75,87.76,28.16,47.49,Black,29.78
71,54,16,22.61,63.69,5.75,87.76,35.53,75.2,Loamy,29.57
71,54,16,22.61,63.69,5.75,87.76,23.46,51.39,Loamy,66.66
71,54,16,22.61,63.69,5.75,87.76,26.99,58.1,Black,39.21
71,54,16,22.61,63.69,5.75,87.76,23.16,48.77,Sandy,42.61
71,54,16,22.61,63.69,5.75,87.76,33.73,61.45,Red,61.26
71,54,16,22.61,63.69,5.75,87.76,32.94,65.59,Clayey,37.37
71,54,16,22.61,63.69,5.75,87.76,29.5,43.2,Red,31.87
71,54,16,22.61,63.69,5.75,87.76,23.91,47.47,Clayey,43.3
71,54,16,22.61,63.69,5.75,87.76,34.02,68.57,Clayey,47.58
71,54,16,22.61,63.69,5.75,87.76,29.44,67.64,Black,34.34
71,54,16,22.61,63.69,5.75,87.76,22.97,52.59,Black,58.34
71,54,16,22.61,63.69,5.75,87.76,25.5,52.83,Black,32.4
71,54,16,22.61,63.69,5.75,87.76,25.13,54.49,Loamy,68.4
71,54,16,22.61,63.69,5.75,87.76,37.04,74.37,Clayey,60.83
71,54,16,22.61,63.69,5.75,87.76,31.98,71.09,Clayey,57.24
71,54,16,22.61,63.69,5.75,87.76,32.2,67.65,Black,34.68
71,54,16,22.61,63.69,5.75,87.76,29.28,50.3,Clayey,33.27
71,54,16,22.61,63.69,5.75,87.76,28.2,67.68,Clayey,36.91
71,54,16,22.61,63.69,5.75,87.76,24.11,47.61,Red,64.23
71,54,16,22.61,63.69,5.75,87.76,23.55,44.85,Clayey,38.3
71,54,16,22.61,63.69,5.75,87.76,31.31,63.35,Clayey,63.08
71,54,16,22.61,63.69,5.75,87.76,29.49,61.66,Sandy,51.22
71,54,16,22.61,63.69,5.75,87.76,22.78,60.52,Red,42.05
71,54,16,22.61,63.69,5.75,87.76,32.52,68.89,Black,20.1
71,54,16,22.61,63.69,5.75,87.76,36.55,74.21,Loamy,57.63
71,54,16,22.61,63.69,5.75,87.76,32.75,63.09,Sandy,59.4
71,54,16,22.61,63.69,5.75,87.76,26.91,59.1,Black,36.25
71,54,16,22.61,63.69,5.75,87.76,30.44,67.97,Sandy,37.89
71,54,16,22.61,63.69,5.75,87.76,32.33,62.09,Red,28.28
71,54,16,22.61,63.69,5.75,87.76,26.11,44.04,Black,20.63
71,54,16,22.61,63.69,5.75,87.76,26.73,63.35,Red,28.54
71,54,16,22.61,63.69,5.75,87.76,34.34,68.17,Red,58.41
71,54,16,22.61,63.69,5.75,87.76,27.61,59.67,Sandy,27.04
71,54,16,22.61,63.69,5.75,87.76,35.06,66.92,Sandy,66.68
71,54,16,22.61,63.69,5.75,87.76,30.3,53.26,Black,50.53
71,54,16,22.61,63.69,5.75,87.76,32.91,59.28,Red,65.83
71,54,16,22.61,63.69,5.75,87.76,26.52,49.31,Loamy,24.53
71,54,16,22.61,63.69,5.75,87.76,26.6,59.53,Black,54.76
71,54,16,22.61,63.69,5.75,87.76,35.97,56.77,Black,47.57
71,54,16,22.61,63.69,5.75,87.76,29.73,55.37,Red,43.18
